11476;MS-C2107;Sovelletun matematiikan tietokonetyöt;Computational Assignments in Applied Mathematics;Datorarbeten i tillämpad matematik;04.01.2016 - 09.04.2016;I - II, III - IV;5
11428;MS-E1997;Nonlinear partial differential equations;Nonlinear partial differential equations;Nonlinear partial differential equations;04.01.2016 - 31.03.2016;;1-10
11427;MS-E1991;Riemann surfaces and Teichmuller theory;Riemann surfaces and Teichmuller theory;Riemann surfaces and Teichmuller theory;04.01.2016 - 11.02.2016;;1-10
11107;MS-E1609;Seminar on stochastics and statistics (V);Seminar on stochastics and statistics (V);Seminar on stochastics and statistics (V);04.01.2016 - 16.05.2016;I-V (academic year)  ;1-5
11032;MS-E1659;Seminar on applied mathematics (V);Seminar on applied mathematics (V);Seminar on applied mathematics (V);14.09.2015 - 30.11.2015;I-V (academic year)  ;1-5
10987;MS-E2195;Web-based courses in systems analysis (V);Web-based courses in systems analysis (V);Web-based courses in systems analysis (V);01.08.2015 - 31.07.2016;I - II, III - V (Autumn and Spring);1-6
10986;MS-E2194;Research course in systems science (V): Advanced topics in portfolio decision analysis;Research course in systems science (V): Advanced topics in portfolio decision analysis;Research course in systems science (V): Advanced topics in portfolio decision analysis;01.08.2015 - 31.07.2016;I, II, III, IV, V (Autumn and Spring);1-6
10985;MS-E2193;Independent studies in systems analysis (V);Independent studies in systems analysis (V);Independent studies in systems analysis (V);01.08.2015 - 31.07.2016;I - II, III - V (Autumn and Spring);1-9
10984;MS-E2192;Systems research seminar (V);Systems research seminar (V);Systems research seminar (V);01.08.2015 - 31.07.2016;The arrangement will be announced later;1-6
10983;MS-E2191;Graduate seminar on operations research (V);Graduate seminar on operations research (V);Graduate seminar on operations research (V);01.08.2015 - 31.07.2016;Not organized this academic year;5
10982;MS-E2153;Multiple criteria optimization;Multiple criteria optimization;Multiple criteria optimization;01.08.2015 - 31.07.2016;I, II, III, IV, V (Autumn and Spring);3-6
10981;MS-E2144;Optimoinnin matemaattinen teoria (V);Optimization Theory (V);Matematisk optimeringsteori (V);01.08.2015 - 31.07.2016;Ei luennoida tänä lukuvuonna;1-6
10980;MS-E2143;Network optimization;Network optimization;Network optimization;01.08.2015 - 31.07.2016;Not lectured this academic year. Exam according to agreement;5
10979;MS-E2142;Optimointiopin seminaari (V);Seminar on Optimization (V);Seminarium i optimeringslära (V);01.08.2015 - 31.07.2016;I-II;5
10978;MS-E2136;Special topics in decision making (V);Special topics in decision making (V);Special topics in decision making (V);01.08.2015 - 31.07.2016;will be announced later;1-6
10977;MS-E2108;Systeemianalyysin erikoistyöt (V);Independent research projects in systems analysis (V);Specialarbeten i systemanalys (V);01.08.2015 - 31.07.2016;I, II, III, IV, V;5-8
10654;MS-E1998;Course with Varying Content V;Course with Varying Content V;Course with Varying Content V;01.08.2015 - 31.07.2016;;1-10
7448;MS-A0001;Matriisilaskenta (TFM);Matrix algebra (TFM);Matrisräkning (TFM);26.10.2015 - 10.12.2015;II (syksy);5
7450;MS-A0002;Matriisilaskenta (SCI);Matrix algebra (SCI);Matrisräkning (SCI);04.01.2016 - 15.02.2016;III (kevät);5
7452;MS-A0003;Matriisilaskenta (ELEC1);Matrix algebra (ELEC1);Matrisräkning (ELEC1);26.10.2015 - 08.12.2015;II (syksy);5
7454;MS-A0004;Matriisilaskenta (ELEC2);Matrix algebra (ELEC2);Matrisräkning (ELEC2);07.09.2015 - 22.10.2015;I (syksy);5
7456;MS-A0005;Matriisilaskenta (ENG1);Matrix algebra (ENG1);Matrisräkning (ENG1);26.10.2015 - 08.12.2015;II (syksy);5
7458;MS-A0006;Matriisilaskenta (ENG2);Matrix algebra (ENG2);Matrisräkning (ENG2);07.09.2015 - 22.10.2015;I (syksy);5
7460;MS-A0007;Matriisilaskenta (CHEM);Matrix algebra (CHEM);Matrisräkning (CHEM);26.10.2015 - 08.12.2015;I (syksy);5
7462;MS-A0008;Matriisilaskenta;Matrix algebra;Matrisräkning;22.02.2016 - 07.04.2016;IV (kevät);5
7464;MS-A0009;Matrisräkning;Matrix algebra;Matrisräkning;07.09.2015 - 22.10.2015;II (syksy);5
7466;MS-A0101;Differentiaali- ja integraalilaskenta 1 (TFM);Differential and integral calculus 1 (TFM);Differential- och integralkalkyl 1 (TFM);07.09.2015 - 22.10.2015;I (Syksy);5
7468;MS-A0102;;Differential and integral calculus 1 (SCI);Differential- och integralkalkyl 1 (SCI);26.10.2015 - 10.12.2015;II (Syksy);5
7470;MS-A0103;Differentiaali- ja integraalilaskenta 1 (ELEC1);Differential and integral calculus 1 (ELEC1);Differential- och integralkalkyl 1 (ELEC1);08.09.2015 - 21.10.2015;I (Syksy);5
7472;MS-A0104;Differentiaali- ja integraalilaskenta 1 (ELEC2);Differential and integral calculus 1 (ELEC2);Differential- och integralkalkyl 1 (ELEC2);26.10.2015 - 10.12.2015;II (Syksy);5
7474;MS-A0105;Differentiaali- ja integraalilaskenta 1 (ENG1);Differential and integral calculus 1 (ENG1);Differential- och integralkalkyl 1 (ENG1);08.09.2015 - 21.10.2015;I (Syksy);5
7476;MS-A0106;Differentiaali- ja integraalilaskenta 1 (ENG2);Differential and integral calculus 1 (ENG2);Differential- och integralkalkyl 1 (ENG2);26.10.2015 - 10.12.2015;II (Syksy);5
7478;MS-A0107;Differentiaali- ja integraalilaskenta 1 (CHEM);Differential and integral calculus 1 (CHEM);Differential- och integralkalkyl 1 (CHEM);04.01.2016 - 18.02.2016;III (kevät);5
7480;MS-A0109;Differential- och integralkalkyl 1;Differential and integral calculus 1;Differential- och integralkalkyl 1;26.10.2015 - 10.12.2015;I (Syksy);5
7482;MS-A0201;Differentiaali- ja integraalilaskenta 2 (TFM);Differential and integral calculus 2 (TFM);Differential- och integralkalkyl 2 (TFM);04.01.2016 - 15.02.2016;III (kevät);5
